Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18
10C_24h_a_b3_f,13.98385,17.94827,20.78435,24.05976,26.37367,25.68702,25.11901,31.76419,43.6351,47.10508,48.64071,53.60382,49.82861,48.24368,45.77955,39.95835,37.83431,29.70203,3.945319,4.290573,4.429091,4.630688,4.960507,5.028475,5.042596,5.383708,5.605213,5.450043,5.428867,5.326489,5.197812,5.129316,5.050467,4.399507,4.378551,3.936862
10C_24h_b_b3_f,14.49418,18.17864,21.23954,25.03978,27.96446,25.96858,24.82796,32.03987,45.55415,49.28385,50.89223,56.22274,52.69804,51.04762,48.42606,42.11458,39.97531,31.53505,4.339014,4.475768,4.352386,4.301504,4.182518,4.083919,3.907758,3.916295,4.753115,4.904587,4.97914,5.224118,5.681043,5.624918,5.483995,4.582828,4.528727,3.926617
10C_24h_c_b3_f,13.42724,17.83612,20.93873,24.41099,26.33591,25.57533,24.92472,31.70005,42.01123,45.31607,46.92549,52.43605,48.34096,46.79602,44.35669,39.04457,37.13264,29.75642,4.328151,4.495301,4.445281,4.479908,4.625328,4.670243,4.55281,4.713844,5.342774,5.345983,5.416468,5.909438,6.107544,6.01513,5.792069,4.707572,4.608925,3.732776
10C_24h_d_b3_f,14.2016,19.22986,22.38249,25.87621,28.12701,27.50621,27.61219,33.83148,42.9803,46.16623,47.72294,53.09536,48.91171,47.34057,44.89618,39.41733,37.45622,29.81832,3.937694,4.186009,4.350455,4.706836,5.144969,5.21845,5.553185,5.647521,6.041064,6.025964,6.084925,6.376901,6.408496,6.280532,6.083992,5.001209,4.883558,3.987378
10C_48h_a_b3_f,14.64225,19.24728,22.45811,26.22576,28.14822,27.37184,27.04603,32.78033,47.05731,50.84773,52.36703,56.33864,51.7214,50.13383,47.57589,41.3157,39.11244,30.50877,4.288371,5.048487,5.159529,5.198343,5.185441,5.207758,5.194729,5.144916,6.083313,6.357972,6.429798,6.365894,6.450673,6.372609,6.204581,5.133385,5.041429,4.331978
10C_48h_b_b3_f,12.93087,16.16424,19.29019,23.23882,25.53953,24.52449,22.98537,30.55725,47.1729,51.08225,52.56384,56.42844,52.76081,51.29323,48.8745,42.65451,40.46967,31.76805,3.528971,3.625476,3.704211,4.002966,4.206683,4.236878,4.15322,4.541551,5.543219,5.708219,5.753326,5.618626,5.498012,5.388152,5.198055,4.171418,4.034496,3.24432
10C_48h_c_b3_f,13.67858,17.08465,19.95538,23.25073,24.28617,23.27119,21.79791,28.19341,44.39551,48.95923,50.75835,56.21474,53.60847,52.14722,49.63973,43.14917,40.9643,32.11847,4.391178,4.835757,5.070016,5.262471,5.176832,5.152741,4.836624,4.88468,5.475278,5.469357,5.462989,5.219815,5.819261,5.844543,5.859207,5.104786,5.080785,4.568334
5C_0h_a_b3_f,14.27495,17.67178,20.50138,23.98791,25.86816,24.84362,23.12418,31.53615,43.87827,47.52066,49.17396,54.8625,51.08096,49.42717,46.90504,40.99336,38.94343,30.93632,4.859481,5.211481,5.263693,5.352976,5.242549,5.189267,4.876153,5.149782,5.301436,5.206777,5.270842,5.274112,5.217376,5.150562,5.036057,4.329296,4.295935,3.869351
5C_0h_b_b3_f,14.61934,19.37502,22.7446,26.73048,29.2888,28.3566,27.16842,35.24369,46.50676,49.62998,51.02771,55.37667,50.95333,49.30437,46.77557,40.90925,38.8565,30.85914,4.327435,4.884805,5.108596,5.394046,5.618784,5.626862,5.495613,5.879533,6.10115,6.140846,6.257286,6.58338,6.664802,6.595448,6.452276,5.54364,5.504771,4.905632
5C_0h_c_b3_f,13.64106,17.65048,21.11735,25.6585,27.51749,26.26411,24.12109,32.10851,44.83718,48.17431,49.61943,54.49611,50.82987,49.11342,46.45464,40.46149,38.42407,30.41622,4.38182,4.78017,4.90598,5.194653,5.253141,5.319973,5.478323,5.502019,5.298995,5.217203,5.245259,5.234669,5.271349,5.195003,5.072352,4.305116,4.290459,3.848405
5C_0h_d_b3_f,13.64106,17.65048,21.11735,25.6585,27.51749,26.26411,24.12109,32.10851,44.83718,48.17431,49.61943,54.49611,50.82987,49.11342,46.45464,40.46149,38.42407,30.41622,4.38182,4.78017,4.90598,5.194653,5.253141,5.319973,5.478323,5.502019,5.298995,5.217203,5.245259,5.234669,5.271349,5.195003,5.072352,4.305116,4.290459,3.848405
5C_120h_a_b3_f,14.48595,18.67594,21.50592,24.55275,26.04548,25.34088,24.65104,30.52324,43.15095,47.14785,48.88966,53.7178,49.44268,48.03776,45.90043,40.40949,38.30054,30.37092,5.017389,5.490144,5.568264,5.676667,5.64379,5.625646,5.319293,5.687161,6.088045,6.137045,6.266035,6.524588,6.380731,6.269598,6.180217,5.207064,5.077065,4.172887
5C_120h_b_b3_f,15.23009,19.36645,22.0626,25.17797,26.88986,26.23917,26.31517,31.5164,44.84146,48.94883,50.71202,55.6164,51.91855,50.52577,48.34814,42.4863,40.37591,32.14343,4.702929,5.082638,5.097356,5.168615,5.192019,5.214995,5.039363,5.423394,5.700191,5.794324,5.934505,6.165703,6.282137,6.227502,6.111614,5.178491,5.081305,4.357738
5C_120h_c_b3_f,16.03371,21.20417,24.40837,27.96622,29.84461,29.08688,28.74495,34.88877,48.35179,52.3536,54.07176,58.3775,53.81871,52.28056,49.91437,43.60198,41.40958,32.83468,4.210933,4.317716,4.323885,4.42313,4.484718,4.526402,4.563587,4.874869,5.01334,5.050903,5.193974,5.494714,5.512652,5.444619,5.380189,4.639768,4.585478,4.089342
5C_120h_d_b3_f,16.95581,22.34298,25.5774,29.25826,31.24574,30.51248,30.64232,36.03307,48.61722,52.36934,53.99826,58.22676,53.88478,52.35548,50.03398,43.71022,41.50209,32.88207,4.021489,4.199566,4.201066,4.30498,4.432751,4.461085,4.505666,4.644957,5.207798,5.393646,5.567289,5.963902,6.25387,6.182594,6.084867,5.128389,5.030732,4.301275
5C_24h_a_b3_f,15.68055,19.90662,23.43997,27.85984,29.36697,28.22988,27.16323,34.08727,46.65298,50.20641,51.74813,56.52348,52.23602,50.60256,48.06316,41.9003,39.78449,31.47177,5.04408,5.816834,5.736758,5.799216,5.762195,5.729418,5.639954,5.860191,6.405605,6.380506,6.369485,6.05126,6.005238,5.939659,5.832573,4.980473,4.932654,4.357192
5C_24h_b_b3_f,14.84649,18.62188,21.73948,25.6384,27.08182,26.04177,25.14744,31.09699,45.6814,49.65089,51.21361,56.35589,53.89183,52.29335,49.69104,43.20697,41.07891,32.50953,4.451162,4.895239,4.926161,4.828448,4.999501,5.104035,5.103625,5.44872,4.443924,4.229089,4.198185,4.159266,4.333112,4.302421,4.229475,3.633997,3.642203,3.398707
5C_24h_c_b3_f,14.92937,17.80483,20.55753,24.36997,25.7239,24.61992,22.91133,30.18659,43.5418,47.2134,48.73001,53.99524,51.33812,49.8075,47.38313,41.50954,39.44571,31.36139,5.08874,5.313772,5.193511,5.135576,4.853203,4.820794,4.464338,4.722287,4.599377,4.493299,4.492738,4.501673,4.528815,4.490166,4.411778,3.807497,3.807791,3.519864
5C_24h_d_b3_f,16.61525,21.32703,24.53517,28.13141,30.14094,29.29014,28.42686,35.64557,46.50941,49.64995,51.09267,55.3991,50.87734,49.33536,46.95478,41.32409,39.32153,31.49293,4.531479,4.513486,4.466321,4.462131,4.531699,4.555002,4.48953,4.925118,5.600349,5.782803,5.923027,6.423726,6.509948,6.419736,6.279743,5.330498,5.275962,4.618529
5C_48h_a_b3_f,15.60642,18.81966,22.32255,27.25729,28.77105,27.37121,26.06642,31.8854,46.55169,50.14012,51.43176,55.43851,52.45183,50.82084,48.12388,41.57165,39.34959,30.53613,3.686869,3.799188,3.71241,3.614707,3.901004,4.068254,4.243014,4.941944,4.273245,4.123645,4.159425,4.202248,4.296728,4.274856,4.24614,3.728312,3.737732,3.483142
5C_48h_b_b3_f,15.29712,19.59934,22.87313,26.8585,28.71948,27.64563,26.01433,33.37578,45.72732,49.21745,50.74636,55.7682,52.04479,50.43114,47.86993,41.79298,39.71889,31.44866,4.068376,4.826499,4.985465,5.15771,5.349488,5.402244,5.515457,5.320584,5.007489,4.830512,4.808515,4.663097,4.673456,4.589902,4.451226,3.651176,3.606055,3.183576
5C_48h_c_b3_f,14.66311,19.64562,22.69976,25.92806,28.14925,27.63578,28.01309,34.44839,44.30106,47.71835,49.41797,54.75181,50.45236,48.95503,46.60119,41.0579,39.08387,31.27505,4.075849,3.903534,3.853826,3.964927,4.354835,4.412083,4.397047,4.873927,5.680363,5.664518,5.709918,5.853058,5.775216,5.692081,5.581416,4.769107,4.719244,4.077772
0C_0h_a_b4_f,13.47932,15.53359,18.58583,23.12599,23.88542,22.4127,19.89814,26.3034,41.47771,45.07729,46.3922,51.12221,49.81786,48.30845,45.85473,40.04407,38.04516,30.23126,4.644635,5.136625,4.95204,4.99943,4.840189,4.828158,4.476481,4.934063,4.758282,4.728976,4.852592,5.068303,5.513789,5.441117,5.291748,4.456969,4.425698,3.873204
0C_0h_b_b4_f,14.63113,19.54733,23.26874,27.88558,29.98029,29.00082,28.33121,35.02954,48.41941,51.90039,53.29828,57.62661,54.53087,52.90085,50.33726,43.73883,41.56488,32.84306,3.930899,4.368153,4.40982,4.718838,4.827363,4.826154,4.748616,5.186358,5.275423,5.435726,5.550106,5.850649,6.445662,6.368548,6.22097,5.218206,5.138123,4.425893
0C_0h_c_b4_f,14.57042,18.70923,22.33918,27.1503,29.19432,27.97362,26.25659,33.33392,47.54518,51.1052,52.51874,56.93483,53.65167,52.00076,49.47062,43.02165,40.85917,32.30681,5.116487,6.0049,6.048439,6.048867,6.010206,6.013566,5.804435,6.122247,5.898434,5.858881,5.906955,5.858274,5.950065,5.843222,5.728701,4.904112,4.873875,4.355556
0C_0h_d_b4_f,14.65541,18.35462,22.1989,27.50856,29.3658,28.06324,26.37593,33.19905,47.46582,51.01492,52.42154,56.77535,53.55867,51.90099,49.35588,42.9929,40.86431,32.3803,4.91467,5.816624,5.767532,5.790244,5.707175,5.693855,5.500066,5.94943,5.773672,5.810246,5.88483,5.923375,5.946792,5.858194,5.717858,4.820432,4.773849,4.209551
0C_168h_a_b4_f,14.53174,18.37398,21.04279,24.10892,25.69031,25.02379,24.94743,30.37348,43.64643,48.05856,49.94557,55.80679,52.78985,51.44775,49.2817,43.34277,41.23013,32.77753,5.020835,5.547274,5.525329,5.642958,5.579808,5.43984,5.165801,5.340104,5.542028,5.586996,5.69684,6.081531,5.972268,5.887024,5.746525,4.785919,4.649576,3.807554
0C_168h_b_b4_f,13.45608,18.08348,21.12013,24.62183,26.82111,26.2266,25.98746,31.96822,44.19338,47.93741,49.42551,53.379,48.98742,47.56562,45.36137,40.09377,38.14024,30.53514,3.999621,4.358394,4.36422,4.507706,4.667374,4.677891,4.733032,4.92314,5.318733,5.415596,5.587967,6.099857,5.823708,5.709911,5.572467,4.607502,4.505778,3.688745
0C_168h_c_b4_f,14.06646,17.37192,20.16577,23.51437,25.4741,24.6852,23.57518,29.76996,45.60043,49.55091,51.11142,54.89676,50.93993,49.54361,47.35011,41.7094,39.64317,31.5863,4.340696,4.832494,4.794004,4.90735,5.157386,5.103988,5.098804,5.419859,6.351326,6.44756,6.445919,6.41014,6.011168,5.865486,5.628881,4.595321,4.453598,3.593175
0C_168h_d_b4_f,15.62521,19.53163,22.51091,26.00921,27.6655,26.77682,25.99698,31.83366,47.42814,51.55005,53.16238,57.12582,54.01305,52.68883,50.51322,44.35004,42.20183,33.57081,4.727043,4.973415,4.790193,4.722708,4.610487,4.523159,4.368125,4.543736,5.84349,6.224834,6.354282,6.715512,7.121229,7.074112,6.95466,5.821673,5.677985,4.680915
0C_168h_e_b4_f,13.75876,17.52901,20.49024,23.88953,25.8581,25.03913,23.75635,30.16818,44.46862,48.19422,49.63215,53.33084,49.57912,48.24653,46.15625,40.85803,38.87625,31.10008,3.597589,4.047833,4.015674,4.170721,4.418771,4.411392,4.36449,4.496873,4.607087,4.669364,4.755177,5.099432,4.764956,4.687777,4.537937,3.765606,3.687833,3.078341
0C_168h_f_b4_f,16.00697,19.99844,22.80424,26.03179,28.4456,27.92823,27.64596,33.13876,45.81018,49.15433,50.45635,53.82486,50.33287,49.07651,47.06684,41.80854,39.87137,32.25475,4.660734,4.952,4.890119,4.961579,5.04248,5.046697,5.04123,5.196122,5.17512,5.248687,5.331848,5.670767,5.59371,5.54147,5.425054,4.651943,4.585944,3.916821
0C_192h_a_b4_f,13.53842,16.47318,19.08431,22.31393,23.88454,23.0181,22.03426,27.2939,42.62468,47.19955,49.03594,54.40632,52.59856,51.42167,49.4692,43.71905,41.66684,33.33274,5.735176,6.046933,5.810907,5.817988,5.770841,5.672401,5.340434,5.474548,6.361805,6.490471,6.578984,6.743899,7.079829,7.046177,6.928281,5.789703,5.627484,4.509639
0C_192h_b_b4_f,15.66267,20.07039,23.16869,26.70626,28.81432,28.00885,26.80571,33.18164,47.52832,51.23033,52.65606,56.1407,52.1104,50.70334,48.48709,42.71523,40.68223,32.57536,4.734233,5.523064,5.722388,6.01534,6.242762,6.204168,6.050223,6.254709,6.706403,6.653936,6.695886,6.732336,6.335264,6.223996,6.099598,5.150011,5.071077,4.33532
0C_192h_c_b4_f,16.07232,19.8184,22.98507,26.92277,29.38453,28.48772,27.43806,33.55296,49.82735,53.74265,55.09528,58.2649,54.41524,52.89799,50.50417,44.09193,41.91575,33.15866,4.413788,5.010393,5.023354,5.166691,5.190011,5.127963,4.861534,5.148674,5.955786,6.126647,6.246866,6.347115,6.252679,6.158874,6.046148,5.155561,5.100301,4.57917
